False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
0.360000,0.140000,208565,123128,1.693746 
0.380000,0.140000,196993,115694,1.702445 
0.400000,0.140000,197282,115400,1.709588 
0.420000,0.140000,214912,124561,1.725108 
0.440000,0.140000,222820,128584,1.732487 
0.460000,0.140000,214596,123413,1.738932 
0.480000,0.140000,219531,125478,1.749115 
0.500000,0.140000,234632,133532,1.756743 
0.520000,0.140000,233674,131822,1.772387 
0.540000,0.140000,251735,141171,1.782620 
0.560000,0.140000,263289,146590,1.795902 
0.580000,0.140000,258143,143145,1.802789 
0.600000,0.140000,252700,139833,1.806171 
0.620000,0.140000,243874,133931,1.819768 
0.640000,0.140000,246900,134884,1.829954 
0.660000,0.140000,258831,140897,1.836819 
0.680000,0.140000,274825,148518,1.850186 
0.700000,0.140000,278229,149998,1.854502 
0.720000,0.140000,284196,151764,1.872362 
0.740000,0.140000,276152,147435,1.872781 
0.760000,0.140000,281048,149403,1.880611 
0.780000,0.140000,277952,147073,1.889294 
0.800000,0.140000,267056,141153,1.891415 
0.820000,0.140000,291812,152602,1.911774 
0.840000,0.140000,271851,141819,1.916091 
0.860000,0.140000,282856,147445,1.917501 
0.880000,0.140000,306735,158696,1.932705 
0.900000,0.140000,302688,156210,1.937328 
0.920000,0.140000,290939,149232,1.949796 
0.940000,0.140000,301747,154580,1.951773 
0.960000,0.140000,308010,156606,1.966244 
0.980000,0.140000,304278,154490,1.969532 
1.000000,0.140000,335100,169421,1.977732 
0.000000,0.160000,120674,80482,1.499361 
0.020000,0.160000,117490,78199,1.502146 
0.040000,0.160000,124861,82683,1.509493 
0.060000,0.160000,139463,91521,1.523958 
0.080000,0.160000,126051,82338,1.530923 
0.100000,0.160000,122571,79490,1.541009 
0.120000,0.160000,137033,88060,1.555122 
0.140000,0.160000,146665,93575,1.567159 
0.160000,0.160000,150421,95533,1.574136 
0.180000,0.160000,151986,96110,1.580687 
0.200000,0.160000,160895,101306,1.587721 
0.220000,0.160000,159757,99202,1.610573 
0.240000,0.160000,166025,102573,1.618220 
0.260000,0.160000,171979,105536,1.629392 
0.280000,0.160000,171191,104571,1.636765 
0.300000,0.160000,182491,110840,1.645621 
0.320000,0.160000,190848,114965,1.659409 
0.340000,0.160000,191985,114693,1.673041 
0.360000,0.160000,208441,123708,1.684698 
0.380000,0.160000,195677,115558,1.693213 
0.400000,0.160000,200777,118049,1.699766 
0.420000,0.160000,200825,117341,1.710617 
0.440000,0.160000,212936,123735,1.720766 
0.460000,0.160000,216765,124969,1.734093 
0.480000,0.160000,213966,122935,1.739772 
0.500000,0.160000,224653,127901,1.756629 
0.520000,0.160000,222462,125893,1.766708 
0.540000,0.160000,232582,130808,1.777928 
0.560000,0.160000,238221,133643,1.782570 
0.580000,0.160000,254754,141308,1.802786 
0.600000,0.160000,258020,142560,1.809253 
0.620000,0.160000,255081,140708,1.812086 
0.640000,0.160000,252810,138331,1.827050 
0.660000,0.160000,258470,140941,1.833656 
0.680000,0.160000,259029,140428,1.844449 
0.700000,0.160000,269648,145125,1.857638 
0.720000,0.160000,282691,151868,1.860854 
0.740000,0.160000,268687,143495,1.870706 
0.760000,0.160000,277256,147024,1.885406 
0.780000,0.160000,293729,156179,1.880399 
0.800000,0.160000,280743,147833,1.898259 
0.820000,0.160000,293090,153878,1.903064 
0.840000,0.160000,280798,146404,1.916580 
0.860000,0.160000,278355,144908,1.921123 
0.880000,0.160000,303516,156701,1.936373 
0.900000,0.160000,309595,158958,1.947665 
0.920000,0.160000,285865,147512,1.937300 
0.940000,0.160000,298158,153021,1.948368 
0.960000,0.160000,307730,156662,1.963927 
0.980000,0.160000,307343,155434,1.976279 
1.000000,0.160000,312660,158165,1.975791 
0.000000,0.180000,114110,77851,1.465060 
0.020000,0.180000,103240,70172,1.470887 
0.040000,0.180000,114733,77085,1.487795 
0.060000,0.180000,122207,81446,1.500116 
0.080000,0.180000,128688,85318,1.508489 
0.100000,0.180000,133671,87871,1.519760 
0.120000,0.180000,129876,85030,1.527208 
0.140000,0.180000,146923,95005,1.545911 
0.160000,0.180000,149221,95789,1.556394 
0.180000,0.180000,151488,96552,1.567391 
0.200000,0.180000,148167,93919,1.577929 
0.220000,0.180000,161828,101651,1.591905 
0.240000,0.180000,164563,102789,1.600445 
0.260000,0.180000,159147,99031,1.606273 
0.280000,0.180000,167692,103263,1.623831 
0.300000,0.180000,189260,115773,1.634582 
0.320000,0.180000,183840,111744,1.644526 
0.340000,0.180000,178300,107369,1.660567 
0.360000,0.180000,193631,116145,1.666994 
0.380000,0.180000,197186,117087,1.682923 
0.400000,0.180000,204396,120889,1.689473 
0.420000,0.180000,206327,121110,1.702173 
0.440000,0.180000,218366,127361,1.713681 
0.460000,0.180000,214670,124611,1.722079 
0.480000,0.180000,207356,119665,1.732344 
0.500000,0.180000,215771,123561,1.746345 
0.520000,0.180000,225590,128757,1.751541 
0.540000,0.180000,249057,141085,1.765148 
0.560000,0.180000,225474,127489,1.768413 
0.580000,0.180000,231864,129499,1.790645 
0.600000,0.180000,244126,135604,1.799179 
0.620000,0.180000,241711,133512,1.810185 
0.640000,0.180000,263421,144949,1.817419 
0.660000,0.180000,266837,145986,1.826917 
0.680000,0.180000,248631,135618,1.832752 
0.700000,0.180000,275084,148955,1.846904 
0.720000,0.180000,256898,137989,1.861360 
0.740000,0.180000,269163,143993,1.868532 
0.760000,0.180000,259187,138243,1.874437 
0.780000,0.180000,277850,147214,1.886468 
0.800000,0.180000,277585,146378,1.895828 
0.820000,0.180000,274502,144297,1.901530 
0.840000,0.180000,282173,147424,1.912411 
0.860000,0.180000,281257,146531,1.919309 
0.880000,0.180000,271076,140785,1.925505 
0.900000,0.180000,286201,147011,1.946765 
0.920000,0.180000,295215,151429,1.949253 
0.940000,0.180000,309234,158374,1.952625 
0.960000,0.180000,323086,163993,1.969230 
0.980000,0.180000,307592,156263,1.967025 
1.000000,0.180000,307775,155770,1.975839 
0.000000,0.200000,100321,69867,1.435069 
0.020000,0.200000,101486,69978,1.449188 
0.040000,0.200000,104049,71033,1.461929 
0.060000,0.200000,112108,76261,1.470225 
0.080000,0.200000,112382,75739,1.483403 
0.100000,0.200000,120069,80351,1.494049 
0.120000,0.200000,130808,86546,1.510250 
0.140000,0.200000,137507,89988,1.527348 
0.160000,0.200000,129985,84814,1.532072 
0.180000,0.200000,137206,89239,1.537075 
0.200000,0.200000,141829,91064,1.557252 
0.220000,0.200000,142240,90721,1.566904 
0.240000,0.200000,153509,96623,1.588766 
0.260000,0.200000,155930,97583,1.597064 
0.280000,0.200000,162811,101402,1.605272 
0.300000,0.200000,171538,105662,1.623349 
0.320000,0.200000,173304,106628,1.625387 
0.340000,0.200000,185969,113010,1.645492 
0.360000,0.200000,185863,112255,1.655800 
0.380000,0.200000,175053,105215,1.662627 
0.400000,0.200000,200961,119530,1.680878 
0.420000,0.200000,186565,110474,1.688670 
0.440000,0.200000,201005,118218,1.699978 
0.460000,0.200000,218559,127030,1.719995 
0.480000,0.200000,220774,128048,1.723265 
0.500000,0.200000,218093,125286,1.740100 
0.520000,0.200000,222661,127542,1.745359 
0.540000,0.200000,238806,135332,1.764143 
0.560000,0.200000,233202,131795,1.769236 
0.580000,0.200000,235591,131822,1.786619 
0.600000,0.200000,240717,134158,1.793262 
0.620000,0.200000,228308,126833,1.800009 
0.640000,0.200000,242400,133959,1.809487 
0.660000,0.200000,257684,141271,1.823619 
0.680000,0.200000,250984,137139,1.830418 
0.700000,0.200000,264604,143172,1.848175 
0.720000,0.200000,264397,142307,1.857468 
0.740000,0.200000,274262,146750,1.868634 
0.760000,0.200000,264970,141612,1.871184 
0.780000,0.200000,270725,143431,1.887235 
0.800000,0.200000,281847,148613,1.896448 
0.820000,0.200000,288074,151844,1.896320 
0.840000,0.200000,284052,148775,1.908591 
0.860000,0.200000,295417,153747,1.920797 
0.880000,0.200000,291116,151031,1.926639 
0.900000,0.200000,296629,153099,1.937003 
0.920000,0.200000,302327,155448,1.944629 
0.940000,0.200000,296354,151482,1.955730 
0.960000,0.200000,297834,151749,1.962453 
0.980000,0.200000,321627,163265,1.970242 
